e52,e23,x38,xv38,vinqi
FILELIKE,filelike,filelike,,फ़ाइल जैसा
FILEMODE,filemode,filemode,,फ़ाइलमोड
FILENAME,filename,filename,,फ़ाइलनाम
FILENAMENONE,filenamenone,filenamenone,,फ़ाइलनामोनोन
FILENAMES,filenames,filenames,,फ़ाइल नाम
FILENONE,filenone,filenone,,फ़ाइलनोन
FILEOBJ,fileobz,fileobz,,फ़ाइलोब्ज
FILEPATH,filepath,filepath,,दस्तावेज पथ
FILES,files,files,,फ़ाइलें
FILESGITDIR,filesgitdir,filesgitdir,,Filesgitdir
FILESYSTEM,filesystem,filesystem,,फाइल सिस्टम
FILESYSTEMS,filesystems,filesystems,,फ़ाइल सिस्टम
FILETYPE,filetype,filetype,,फ़ाइल प्रकार
FILTER,filter,filtxr,,फ़िल्टर
FILTERER,filterer,filtxrxr,,फ़िल्टरर
FILTERING,filtering,filtxring,,छनन
FILTERNAME,filtername,filtxrname,,फ़िल्टरनाम
FILTERS,filters,filtxrs,,फिल्टर
FINAL,final,final,,अंतिम
FINALIZER,finalizer,finalizxr,,अंतिम रूप देने वाला
FINDALL,findall,findall,,ढूँढ़ें
FINDITER,finditer,finditxr,,खोजकर्ता
FINISHED,finished,finished,,खत्म
FINITE,finite,finite,,परिमित
FIRSTITER,firstiter,firstitxr,,FIRSTITER
FIRSTOUT,firstout,firstout,,पहले बाहर
FIS,fis,fis,,वित्तीय संस्थाओं
FIT,fit,fit,,उपयुक्त
FITEMS,fitems,fitems,,फिटेम्स
FITNESS,fitness,fitness,,उपयुक्तता
FIVE,fiwe,fiwe,,पाँच
FIXED,fixed,fixed,,तय
FIXTURE,fixture,fixture,,स्थिरता
FLAG,flag,flag,,झंडा
FLAGS,flags,flags,,झंडे
FLASTI,flasti,flasti,,FLASTI
FLAVOR,flawor,flawor,,स्वाद
FLAVOUR,flawour,flawour,,स्वाद
FLINENO,flineno,flineno,,फ़्लिनेनो
FLIPS,flips,flips,,फ़्लिप
FLOAT,float,float,,तैरना
FLOATINFO,floatinfo,floatinfo,,फ्लोटिइन्फो
FLOATNUMSTR,floatnumstr,floatnumstr,,फ्लोटनमस्ट्र
FLOATS,floats,floats,,तैरता
FLOATSELF,floatself,floatself,,स्वयं तैरना
FLOCALS,flocals,flocals,,फ़्लोकल
FLOOR,floor,floor,,ज़मीन
FLOORING,flooring,flooring,,फर्श
FLUSHED,flushed,flushed,,प्लावित
FLUSHES,flushes,flushes,,फ्लश
FLUSHING,flushing,flushing,,फ्लशिंग
FMODX,fmodx,fmodx,,एफएमओडीएक्स
FMT,fmt,fmt,,एफएमटी
FMTNONE,fmtnone,fmtnone,,एफएमटीएनओएन
FMTPARAMS,fmtparams,fmtparams,,FMTPARAMS
FOK,fok,fok,,एफओके
FOLLOW,follow,follow,,अनुसरण करना
FOLLOWED,followed,followed,,पालन ​​किया
FOLLOWING,following,following,,अगले
FOLLOWLINKS,followlinks,followlinks,,फ़ॉलोलिंक्स
FOLLOWS,follows,follows,,इस प्रकार है
FOO,foo,foo,,फू
FOOBAR,foobar,foobar,,foobar
FOOTER,footer,footxr,,FOOTER
FOOXAR,fooxar,fooxar,,फॉक्सार
FORBIDDEN,forbidden,forbidden,,निषिद्ध
FORCE,force,force,,बल
FORGET,forget,forget,,भूल जाओ
FORM,form,form,,रूप
FORMALLY,formally,formally,,औपचारिक रूप से
FORMAT,format,format,,प्रारूप
FORMATS,formats,formats,,प्रारूप
FORMATSPEC,formatspec,formatspec,,फॉर्मेटस्पेक
FORMATSTRING,formatstring,formatstring,,फॉर्मेटस्ट्रिंग
FORMATTED,formatted,formatted,,स्वरूपित
FORMATTER,formatter,formattxr,,फ़ॉर्मेटर
FORMATTERS,formatters,formattxrs,,फ़ॉर्मेटर्स
FORMATTIME,formattime,formattime,,फॉर्मेटटाइम
FORMATTING,formatting,formatting,,स्वरूपण
FORWARDREF,forwardref,forwardref,,फॉर्वर्डरेफ़
FOUND,found,found,,मिला
FOUNDATION,foundation,foundation,,नींव
FOUR,four,four,,चार
FRACTIONAL,fractional,fractional,,आंशिक
FRAME,frame,frame,,चौखटा
FRAMEINFO,frameinfo,frameinfo,,फ्रेमजानकारी
FRAMES,frames,frames,,फ़्रेम
FRAMEWORK,framework,framiyuork,,रूपरेखा
FREE,free,free,,मुक्त
FREQUENCY,frekuency,frekuency,,आवृत्ति
FREXP,frexp,frexp,,FREXP
FRIENDLIER,friendlier,friendlixr,,दोस्ताना
FRO,fro,fro,,इधर-उधर
FROZENSET,frozenset,frozenset,,फ्रोजनसेट
FRSIZE,frsize,frsize,,FRSIZE
FSPATH,fspath,fspath,,एफएसपीएटीएच
FSTAT,fstat,fstat,,एफएसटीएटी
FSTATVFS,fstatwfs,fstatwfs,,FSTATVFS
FTRACE,ftrace,ftrace,,एफट्रेस
FTRACELINES,ftracelines,ftracelines,,FTRACELINES
FULL,full,full,,भरा हुआ
FULLARGSPEC,fullargspec,fullargspec,,फुलार्ग्सस्पेक
FULLMATCH,fullmatch,fullmatch,,पूर्णमैच
FULLY,fully,fully,,पूरी तरह
FUNC,func,func,,समारोह
FUNCARGS,funcargs,funcargs,,फ़नकार्ज़
FUNCNAMES,funcnames,funcnames,,मज़ाकिया नाम
FUNCNONE,funcnone,funcnone,,FUNCNONE
FUNCTION,function,function,,समारोह
FUNCTIONING,functioning,functioning,,कामकाज
FUNCTIONS,functions,functions,,कार्य
FURTHER,further,furthxr,,आगे
FUSED,fused,fused,,इनकार
FUTURE,future,future,,भविष्य
GAMMA,gamma,gamma,,गामा
GAMMAS,gammas,gammas,,गामा
GENCLOSED,genclosed,genclosed,,जेनक्लोज्ड
GENCREATED,gencreated,gencreated,,निर्मित
GENERAL,general,genxral,,सामान्य
GENERALLY,generally,genxrally,,आम तौर पर
GENERATE,generate,genxrate,,उत्पन्न
GENERATED,generated,genxrated,,आप जेनरेट हुई
GENERATING,generating,genxrating,,उत्पादक
GENERATOR,generator,genxrator,,जनक
GENERATORS,generators,genxrators,,जेनरेटर
GENERIC,generic,genxric,,सामान्य
GENRUNNING,genrunning,genrunning,,जेनरनिंग
GENSUSPENDED,gensuspended,gensuspended,,सामान्यतः निलंबित
GETARGVALUES,getargwalues,getargwalues,,गेटर्गवैल्यू
GETATTR,getattr,getattr,,गेटएटीआर
GETATTRIBUTE,getattribute,getattribute,,Getattribute
GETATTRSELF,getattrself,getattrself,,स्वयं पर ध्यान दें
GETCALLARGS,getcallargs,getcallargs,,कॉल प्राप्त करें
GETCLASSTREE,getclasstree,getclasstree,,गेटक्लासस्ट्री
GETCOMMENTS,getcomments,getcomments,,टिप्पणियाँ प्राप्त करें
GETDOC,getdoc,getdoc,,गेटडॉक
GETFILE,getfile,getfile,,फ़ाइल प्राप्त करें
GETITEM,getitem,getitem,,आइटम प्राप्त करें
GETMEMBERS,getmembers,getmembxrs,,सदस्य प्राप्त करें
GETMODULE,getmodule,getmodule,,मॉड्यूल प्राप्त करें
GETPROFILE,getprofile,getprofile,,प्रोफ़ाइल प्राप्त करें
GETREFCOUNT,getrefcount,getrefcount,,गेटरेकाउंट
GETS,gets,gets,,जाता
GETSET,getset,getset,,गेटसेट
GETSETS,getsets,getsets,,गेटसेट्स
GETSIZE,getsize,getsize,,आकार प्राप्त करें
GETSIZEOF,getsizeof,getsizeof,,गेटसाइज़ोफ़
GETSOURCE,getsource,getsource,,स्रोत प्राप्त करें
GETTRACE,gettrace,gettrace,,गेटट्रेस
GGAAMMMMAAX,ggaammmmaax,ggaammmmaax,,GGAAMMMMAX
GGEESELF,ggeeself,ggeeself,,जीजीईईएसईएलएफ
GGEETTCCWWDD,ggeettccwwdd,ggeettccwwdd,,GGEETTCCWWDD
GGEETTPPIIDD,ggeettppiidd,ggeettppiidd,,GGEETTPPIIDD
GGEETTSELF,ggeettself,ggeettself,,Ggeettself
GGRROOUUPP,ggrroouupp,ggrroouupp,,GGRROOUUPP
GGRROOUUPPSS,ggrroouuppss,ggrroouuppss,,GGRROOUUPPSS
GGTTSELF,ggttself,ggttself,,जीजीटीटीएसईएलएफ
GICODE,gicode,gicode,,जीआईसीओडीई
GID,gid,gid,,जी.आई.डी
GIFRAME,giframe,giframe,,GIFRAME
GIRUNNING,girunning,girunning,,गिरुनिंग
GISUSPENDED,gisuspended,gisuspended,,निलंबित कर दिया गया
GIVEN,giwen,giwen,,दिया गया
GIVES,giwes,giwes,,देता है
GIVING,giwing,giwing,,देने
GIYIELDFROM,giyieldfrom,giyieldfrom,,GIYIELDFROM
GLOBAL,global,global,,वैश्विक
GLOBALS,globals,globals,,वैश्विक
GLOBALSNONE,globalsnone,globalsnone,,ग्लोबल्सनोन
GMT,gmt,gmt,,GMT
GNUMERIC,gnumeric,gnumxric,,संख्यात्मक
GREATER,greater,greatxr,,ग्रेटर
GREATEST,greatest,greatest,,महानतम
GREEDY,greedy,greedy,,लालची
GREGORIAN,gregorian,gregorian,,ग्रेगोरियन
GROUP,group,group,,समूह
GROUPGROUP,groupgroup,groupgroup,,ग्रुपग्रुप
GROUPS,groups,groups,,समूह
GUARANTEED,guaranteed,guaranteed,,गारंटी
GUID,guid,guid,,GUID
GUIDO,guido,guido,,गुइडो
HALFWAY,halfway,halfway,,आधे रास्ते
HANDLE,handle,handle,,सँभालना
HANDLED,handled,handled,,सम्भाला
HANDLER,handler,handlxr,,हैंडलर
HANDLERLEVEL,handlerlxwxl,handlxrlxwxl,,हैंडलरलेवल
HANDLERS,handlers,handlxrs,,संचालकों
HANDLES,handles,handles,,संभालती है
HANDLING,handling,handling,,हैंडलिंग
HAPPEN,happen,happen,,होना
HARD,hard,hard,,मुश्किल
HARDEST,hardest,hardest,,मुश्किल
HARDWARE,hardware,hardware,,हार्डवेयर
HASH,hash,hash,,हैश
HASHABLE,hashable,hashable,,धोने योग्य
HASHINFO,hashinfo,hashinfo,,हाशिन्फो
HASHSELF,hashself,hashself,,हशस्वयं
HASNT,hasnt,hasnt,,"नहीं चढ़े, जिस"
HAVING,hawing,hawing,,होना
HDLR,hdlr,hdlr,,एचडीएलआर
HEADER,header,headxr,,हैडर
HEADING,heading,heading,,शीर्षक
HEIGHT,height,height,,ऊंचाई
HELPAN,helpan,helpan,,सहायता
HELPER,helper,helpxr,,सहायक
HELPNONE,helpnone,helpnone,,सहायताकर्ता
HELPTHE,helpthe,helpthe,,मदद करो
HELPTHING,helpthing,helpthing,,मदद करना
HELPTYPE,helptype,helptype,,सहायता प्रकार
HELPTYPESELF,helptypeself,helptypeself,,स्वयं सहायता करें
HERE,here,hxre,,यहाँ
HEREUNDER,hereunder,hxreundxr,,इसके अंतर्गत
HEXADECIMAL,hexadecimal,hexadecimal,,हेक्साडेसीमल
HEXDIGITS,hexdigits,hexdigits,,हेक्सडिजिट्स
HEXVERSION,hexwersion,hexwxrsion,,हेक्सवर्जन
HHAASSHH,hhaasshh,hhaasshh,,हाआश्श
HHAASSHHSELF,hhaasshhself,hhaasshhself,,हाआश्शस्वयं
HHEELLPP,hheellpp,hheellpp,,HHEELLPP
HHELP,hhelp,hhelp,,Hमदद
HHOOUURR,hhoouurr,hhoouurr,,हहूउउउर
HIERARCHIES,hierarchies,hixrarchies,,पदानुक्रम
HIERARCHY,hierarchy,hixrarchy,,पदानुक्रम
HIGHER,higher,highxr,,उच्च
HIGHEST,highest,highest,,उच्चतम
HIGHLEVEL,highlxwxl,highlxwxl,,उच्च स्तर
HIGHLY,highly,highly,,अत्यधिक
HINTING,hinting,hinting,,इशारा
HMS,hms,hms,,एचएमएस
HOLD,hold,hold,,पकड़ना
HOLDER,holder,holdxr,,धारक
HOLDING,holding,holding,,होल्डिंग
HOLDS,holds,holds,,रखती है
HOME,home,home,,घर
HOOK,hook,hook,,अंकुश
HOOKS,hooks,hooks,,हुक
HOST,host,host,,मेज़बान
HOSTING,hosting,hosting,,होस्टिंग
HOSTNAME,hostname,hostname,,होस्ट का नाम
HOUR,hour,hour,,घंटा
HOURS,hours,hours,,घंटे
HOWEVER,howxwxr,howxwxr,,तथापि
HTML,html,html,,एचटीएमएल
HTMLSAFE,htmlsafe,htmlsafe,,HTMLसुरक्षित
HTTP,http,http,,HTTP
HTTPSJSONORG,httpszsonorg,httpszsonorg,,HTTPSJSONORG
HUMAN,human,human,,इंसान
HYPERBOLIC,hyperbolic,hypxrbolic,,अतिशयोक्तिपूर्ण
HYPOT,hypot,hypot,,हाइपोट
HYPOTENUSE,hypotenuse,hypotenuse,,कर्ण
IDEA,idea,idea,,विचार
IDEAL,ideal,ideal,,आदर्श
IDENTIFIE,identifie,identifie,,पहचानें
IDENTIFIED,identified,identified,,पहचान की
IDENTIFIER,identifier,identifixr,,पहचानकर्ता
IDENTIFIES,identifies,identifies,,पहचान करता है
IDENTIFYING,identifying,identifying,,की पहचान
IDNAME,idname,idname,,आईडीनाम
IDNAMEYESNO,idnameyesno,idnameyesno,,IDNAMEYESNO
IDX,idx,idx,,आईडीएक्स
IEEE,ieee,ieee,,आईईईई
IGNORE,ignore,ignore,,अनदेखा करना
IGNORECASE,ignorecase,ignorecase,,अनदेखा करें
IGNORED,ignored,ignored,,अवहेलना करना
IGNORES,ignores,ignores,,पर ध्यान नहीं देता
IGNORING,ignoring,ignoring,,की अनदेखी
IIAADDDDSELF,iiaaddddself,iiaaddddself,,IIAADDDDSELF
IIAANNDDSELF,iiaannddself,iiaannddself,,IAAANDDSELF
IIDDSELF,iiddself,iiddself,,IIDSELF
IIMMAAGG,iimmaagg,iimmaagg,,IIMMAAGG
IIMMUULLSELF,iimmuullself,iimmuullself,,मैं स्वयं हूं
IINNDDEEXX,iinnddeexx,iinnddeexx,,IINDDEEXX
IINNFF,iinnff,iinnff,,IINNFF
IINNFFOO,iinnffoo,iinnffoo,,IINNFFOO
IINNFFOOMSG,iinnffoomsg,iinnffoomsg,,IINNFFOOMSG
IINNFFOOSELF,iinnffooself,iinnffooself,,IINFफ़ूसेल्फ
IINNIITT,iinniitt,iinniitt,,IINNIITT
IINNIITTSELF,iinniittself,iinniittself,,IINNIITSELF
IINNTTSELF,iinnttself,iinnttself,,IINNTTSELF
IIOORRSELF,iioorrself,iioorrself,,IIOORRSELF
IISSIINNFFX,iissiinnffx,iissiinnffx,,IISSIINNFFX
IISSNNAANNX,iissnnaannx,iissnnaannx,,IISSNNAANNX
IISSQQRRTTN,iisskkrrttn,iisskkrrttn,,IISSQQRRTTN
IISSUUBBSELF,iissuubbself,iissuubbself,,IISSUBBSELF
IITTEERRSELF,iitteerrself,iittexrrself,,ITITEERRSELF
IMAG,imag,imag,,imag के
IMAGINARY,imaginary,imaginary,,काल्पनिक
IMMEDIATELY,immediately,immediately,,तुरंत
IMMUTABLE,immutable,immutable,,अडिग
IMPLEMENT,implement,implement,,अमल में लाना
IMPLEMENTED,implemented,implemented,,लागू
IMPLEMENTS,implements,implements,,औजार
IMPLIED,implied,implied,,निहित
IMPORT,import,import,,आयात
IMPORTABLE,importable,importable,,देश में लाने योग्य
IMPORTANT,important,important,,महत्वपूर्ण
IMPORTED,imported,imported,,आयातित
IMPOSE,impose,impose,,आरोपित करना
INCIDENTAL,incidental,incidental,,आकस्मिक
INCLUDE,include,include,,शामिल करना
INCLUDED,included,included,,शामिल
INCLUDES,includes,includes,,शामिल
INCLUDING,including,including,,शामिल
INCLUSIVEOR,inclusiweor,inclusiweor,,समावेशी
INCOMING,incoming,incoming,,इनकमिंग
INCOMPATIBLE,incompatible,incompatible,,असंगत
INCOMPLETE,incomplete,incomplete,,अधूरा
INCORRECT,incorrect,incorrect,,गलत
INDENT,indent,indent,,मांगपत्र
INDENTATION,indentation,indentation,,खरोज
INDENTED,indented,indented,,दांतेदार बना हुआ
INDENTNONE,indentnone,indentnone,,इंडेंटनोन
INDEX,index,index,,अनुक्रमणिका
INDEXABLE,indexable,indexable,,इंडेक्स करने योग्य
INDEXED,indexed,indexed,,अनुक्रमित
INDEXERROR,indexerror,indexxrror,,अनुक्रमणिका
INDEXES,indexes,indexes,,अनुक्रमित
INDEXING,indexing,indexing,,अनुक्रमण
INDICATE,indicate,indicate,,संकेत देना
INDICATED,indicated,indicated,,बताए गए
INDICATES,indicates,indicates,,संकेत करता है
INDICATING,indicating,indicating,,यह दर्शाता है
INDICES,indices,indices,,सूचकांक
INDIRECT,indirect,indirect,,अप्रत्यक्ष
INDIVIDUAL,indiwidual,indiwidual,,व्यक्ति
INF,inf,inf,,जानकारी
INFINITE,infinite,infinite,,अनंत
INFINITY,infinity,infinity,,अनंत
INFO,info,info,,जानकारी
INFOFOOFIRST,infofoofirst,infofoofirst,,इन्फोफूफर्स्ट
INFORMATION,information,information,,जानकारी
INFORMATIVE,informatiwe,informatiwe,,जानकारीपूर्ण
INHERITABLE,inheritable,inhxritable,,दाय
INHERITANCE,inheritance,inhxritance,,विरासत
INHERITED,inherited,inhxrited,,विरासत में मिला
INIT,init,init,,इस में
INITIALIZE,initialize,initialize,,हस्ताक्षर करना
INITIALIZED,initialized,initialized,,initialized
INITIALIZES,initializes,initializes,,आरंभ
INITIALIZING,initializing,initializing,,प्रारंभ करने
INITLISTNONE,initlistnone,initlistnone,,INITLISTNONE
INITPY,initpy,initpy,,INITPY
INNER,inner,innxr,,भीतरी
INO,ino,ino,,आईएनओ
INODE,inode,inode,,इनोड
INPLACE,inplace,inplace,,जगह में
INPUT,input,input,,इनपुट
INPUTCSV,inputcsw,inputcsw,,INPUTCSV
INPUTGNU,inputgnu,inputgnu,,इनपुटजीएनयू
INPUTS,inputs,inputs,,किए गए इनपुट
INPUTXLS,inputxls,inputxls,,इनपुटक्सएलएस
INSERT,insert,insxrt,,डालना
INSERTED,inserted,insxrted,,डाला
INSERTION,insertion,insxrtion,,प्रविष्टि
INSIDE,inside,inside,,अंदर
INSPECT,inspect,inspect,,निरीक्षण करें
INSPECTEMPTY,inspectempty,inspectempty,,निरीक्षण
INSPECTVOID,inspectwoid,inspectwoid,,निरीक्षणशून्य
INSTALL,install,install,,स्थापित करना
INSTALLED,installed,installed,,इंस्टॉल किया
INSTANCE,instance,instance,,उदाहरण
INSTANCES,instances,instances,,उदाहरणों
INSTANTIATE,instantiate,instantiate,,इन्स्तांत
INSTANTIATED,instantiated,instantiated,,तात्कालिक
INSTEAD,instead,instead,,बजाय
INSTRUCTION,instruction,instruction,,अनुदेश
INT,int,int,,int यहाँ
INTACT,intact,intact,,अखंड
INTADD,intadd,intadd,,INTADD
INTEGER,integer,integxr,,पूर्णांक
INTEGERS,integers,integxrs,,पूर्णांकों
INTEGRAL,integral,integral,,अभिन्न
INTENDED,intended,intended,,अभिप्रेत
INTERACT,interact,intxract,,इंटरैक्ट करना
INTERACTIVE,interactiwe,intxractiwe,,इंटरैक्टिव
INTERCHANGE,interchange,intxrchange,,विनिमय
INTERESTED,interested,intxrested,,इच्छुक
INTERESTING,interesting,intxresting,,दिलचस्प
INTERFACE,interface,intxrface,,इंटरफ़ेस
INTERMEDIATE,intermediate,intxrmediate,,मध्यवर्ती
INTERN,intern,intxrn,,प्रशिक्षु
INTERNAL,internal,intxrnal,,आंतरिक
INTERNED,interned,intxrned,,प्रशिक्षु
INTERPRET,interpret,intxrpret,,व्याख्या
INTERPRETED,interpreted,intxrpreted,,व्याख्या
INTERPRETER,interpreter,intxrpretxr,,दुभाषिया
INTERPRETERS,interpreters,intxrpretxrs,,दुभाषिए
INTERRUPTED,interrupted,intxrrupted,,बाधित
INTERSECTION,intersection,intxrsection,,चौराहा
INTERVAL,interwal,intxrwal,,अंतराल
INTFLOAT,intfloat,intfloat,,अंतर्प्रवाह
INTINFO,intinfo,intinfo,,जानकारी
INTNUMSTR,intnumstr,intnumstr,,INTNUMSTR
INTS,ints,ints,,आईएनटीएस
INTSELF,intself,intself,,स्वयं
INTSTR,intstr,intstr,,INTSTR
INVALID,inwalid,inwalid,,अमान्य
INVERSE,inwerse,inwxrse,,श्लोक में
INVOCATION,inwocation,inwocation,,मंगलाचरण
INVOKED,inwoked,inwoked,,लागू
INVOKING,inwoking,inwoking,,प्रेरक
INVOLVED,inwolwed,inwolwed,,शामिल
IOGETVALUE,iogetwalue,iogetwalue,,IOGETमूल्य
IPPOLITO,ippolito,ippolito,,इप्पोलिटो
ISBUILTIN,isbuiltin,isbuiltin,,ISBUILTIN
ISCLASS,isclass,isclass,,ISCLASS
ISCODE,iscode,iscode,,ISCODE
ISFRAME,isframe,isframe,,ISFRAME
ISFUNCTION,isfunction,isfunction,,ISFUNCTION
ISGENERATOR,isgenerator,isgenxrator,,आईएसजेनरेटर
ISMETHOD,ismethod,ismethod,,इस विधि
ISMODULE,ismodule,ismodule,,ISMODULE
ISNT,isnt,isnt,,नहीं है
ISO,iso,iso,,आईएसओ
ISOLIKE,isolike,isolike,,आइसोलाइक
ISPACKAGE,ispackage,ispakage,,ISPACKAGE
ISROUTINE,isroutine,isroutine,,इसरोटीन
ISSUBCLASS,issubclass,issubclass,,ISउपवर्ग
ISSUE,issue,issue,,मुद्दा
ISSUED,issued,issued,,जारी किए गए
ISTRACEBACK,istraceback,istracebak,,इस्ट्रैसबैक
ITEM,item,item,,वस्तु
ITEMS,items,items,,सामान
ITER,iter,itxr,,आईटीईआर
ITERABLE,iterable,itxrable,,चलने योग्य
ITERABLENONE,iterablenone,itxrablenone,,पुनरावर्तनीयकोई नहीं
ITERABLES,iterables,itxrables,,चलने योग्य
ITERATED,iterated,itxrated,,दोहराया
ITERATION,iteration,itxration,,यात्रा
ITERATOR,iterator,itxrator,,इटरेटर
ITERATORS,iterators,itxrators,,इटरेटर
ITERO,itero,itxro,,इटेरो
ITERSELF,iterself,itxrself,,स्वयं
ITSELF,itself,itself,,स्वयं
JANUARY,zanuary,zanuary,,जनवरी
JAVA,zawa,zawa,,जावा
JAVASCRIPT,zawascript,zawascript,,जावास्क्रिप्ट
JIT,zit,zit,,जीत
JJOOIINNSELF,zzooiinnself,zzooiinnself,,जजूइनसेल्फ
JOIN,zoin,zoin,,जोड़ना
JOINED,zoined,zoined,,शामिल हुए
JSON,zson,zson,,JSON
JSONDECOD,zsondecod,zsondecod,,JSONDECOD
JSONDECODER,zsondecoder,zsondecodxr,,JSONDECODER
JSONDUMPS,zsondumps,zsondumps,,JSONDUMPS
JSONDUMPSFOO,zsondumpsfoo,zsondumpsfoo,,JSONDUMPSFOO
JSONENCODER,zsonencoder,zsonencodxr,,JSONENCODER
JSONLOADIO,zsonloadio,zsonloadio,,JSONLOADIO
JSONLOADS,zsonloads,zsonloads,,JSONLOADS
JSONLOADSFOO,zsonloadsfoo,zsonloadsfoo,,JSONLOADSFOO
JSONOBJ,zsonobz,zsonobz,,JSONOBJ
JSONRPC,zsonrpc,zsonrpc,,जेएसओएनआरपीसी
JUN,zun,zun,,जून
JUNCTION,zunction,zunction,,जंक्शन
JUNIT,zunit,zunit,,JUnit
KAPING,kaping,kaping,,कपिंग
KEEP,keep,keep,,रखना
KEEPING,keeping,keeping,,रखते हुए
KEEPS,keeps,keeps,,रखता है
KENT,kent,kent,,केंट
KEY,key,key,,चाबी
KEYED,keyed,keyed,,बंद
KEYERROR,keyerror,keyxrror,,कीरोर
KEYERRORKEY,keyerrorkey,keyxrrorkey,,कीरोर्की
KEYS,keys,keys,,चाबियाँ
KEYSEPARATOR,keyseparator,keyseparator,,कुंजीविभाजक
KEYWORD,keyword,keyword,,कीवर्ड
KEYWORDONLY,keywordonly,keywordonly,,केवल कीवर्ड
KEYWORDS,keywords,keywords,,कीवर्ड
KILL,kill,kill,,मारना
KILLED,killed,killed,,मारे गए
KIND,kind,kind,,दयालु
KINDCLASS,kindclass,kindclass,,किंडक्लास
KKEEYYSSSELF,kkeeyyssself,kkeeyyssself,,केकीय्ससेल्फ
KKIILLLLPID,kkiillllpid,kkiillllpid,,ककीलिलपीआईडी
KKIINNDD,kkiinndd,kkiinndd,,केकेआईआईएनडीडी
KKWWAARRGGSS,kkwwaarrggss,kkwwaarrggss,,केकेडब्ल्यूडब्ल्यूएआरजीएसएस
KNONE,knone,knone,,पता है
KNOWLEDGE,knowledge,knowledge,,ज्ञान
KNOWN,known,known,,ज्ञात
KNUTHS,knuths,knuths,,KNUTHS
KTH,kth,kth,,केटीएच
KWARG,kwarg,kwarg,,क्वार्ग
KWARGS,kwargs,kwargs,,क्वार्ग्स
KWDEFAULTS,kwdefaults,kwdefaults,,KWDefaults
KWDS,kwds,kwds,,KWDS
KWON,kwon,kwon,,क्वोन
KWONLYARGS,kwonlyargs,kwonlyargs,,क्वोनलियार्ग्स
KWS,kws,kws,,केडब्लूएस
LACK,lack,lak,,कमी
LACKS,lacks,laks,,का अभाव
LAMBDA,lambda,lambda,,लैम्ब्डा
LANGUAGE,language,language,,भाषा
LARGEST,largest,largest,,सबसे बड़ा
LAST,last,last,,अंतिम
LASTEXC,lastexc,lastexc,,LASTEXC
LASTIN,lastin,lastin,,आखरी अंदर
LASTTRUE,lasttrue,lasttrue,,अंतिम सत्य
LASTTYPE,lasttype,lasttype,,अंतिम प्रकार
LASTVALUE,lastwalue,lastwalue,,अंतिम मूल्य
LATER,later,latxr,,बाद में
LATTER,latter,lattxr,,बाद वाला
LAUNCHED,launched,launched,,शुभारंभ
LAUNCHING,launching,launching,,शुरू करने
LAYOUT,layout,layout,,लेआउट
LEADING,leading,leading,,अग्रणी
LEAF,leaf,leaf,,पत्ता
LEAST,least,least,,कम से कम
LEAVE,leawe,leawe,,छुट्टी
LEAVING,leawing,leawing,,रवाना होने से
LEFT,left,left,,बाएं
LEFTMOST,leftmost,leftmost,,वाम-पंथी
LEGACY,legacy,legacy,,परंपरा
LENFILES,lenfiles,lenfiles,,लेनफ़ाइल्स
LENGTH,length,length,,लंबाई
LENSELF,lenself,lenself,,लेनसेल्फ
LESS,less,less,,कम
LET,let,let,,होने देना
LETTER,letter,lettxr,,पत्र
LETTERS,letters,lettxrs,,पत्र
LEVEL,lxwxl,lxwxl,,स्तर
LEVELINFO,lxwxlinfo,lxwxlinfo,,लेवलइन्फो
LEVELNAME,lxwxlname,lxwxlname,,लेवलनाम
LEVELNAMES,lxwxlnames,lxwxlnames,,स्तर के नाम
LEVELNONE,lxwxlnone,lxwxlnone,,लेवलनोन
LEVELNOS,lxwxlnos,lxwxlnos,,लेवलनोस
LEVELS,lxwxls,lxwxls,,स्तरों
LIABLE,liable,liable,,उत्तरदायी
LIBRARY,library,library,,पुस्तकालय
LIFO,lifo,lifo,,जीवन
LIGHTWEIGHT,lightweight,lightweight,,हल्के
LIMIT,limit,limit,,आप LIMIT
LIMITED,limited,limited,,सीमित
LINEFMTNONE,linefmtnone,linefmtnone,,लाइनएफ़एमटीएनओएन
LINENO,lineno,lineno,,लिनेनो
LINENOD,linenod,linenod,,लिनेनोड
LINES,lines,lines,,पंक्तियां
LINESEP,linesep,linesep,,लाइनसेप
LINESPLIT,linesplit,linesplit,,लाइनस्प्लिट
LINK,link,link,,जोड़ना
LINKS,links,links,,लिंक
LIST,list,list,,सूची
LISTED,listed,listed,,सूचीबद्ध
LISTINT,listint,listint,,सूची
LISTITERABLE,listiterable,listitxrable,,सुनने योग्य
LISTLIKE,listlike,listlike,,सूची जैसा
LISTS,lists,lists,,सूचियों
LISTSPECIFIC,listspecific,listspecific,,सूची विशिष्ट
LITERAL,literal,litxral,,शाब्दिक
LITERALS,literals,litxrals,,शाब्दिक
LITERALTEXT,literaltext,litxraltext,,शाब्दिक पाठ
LLDDEEXXPPX,llddeexxppx,llddeexxppx,,एलएलडीडीएक्सएक्सपीपीएक्स
LLEENNSELF,lleennself,lleennself,,LLEENSELF
LLEESELF,lleeself,lleeself,,लीसेल्फ
LLIINNEENNOO,lliinneennoo,lliinneennoo,,LLIINNEENNO
LLIINNEESS,lliinneess,lliinneess,,लिलीननेस
